z_phot,MAG_u,MAG_g,MAG_r,MAG_i
1.397,24.122858,24.33779,24.224817,24.40674
0.607,22.958534,22.140404,20.943401,20.393303
0.667,22.655039,22.823385,22.360352,21.98543
0.707,24.210503,25.690512,24.350658,24.734325
1.007,24.569695,24.422163,24.566359,24.030233
0.787,22.748692,22.697699,22.397678,22.110971
0.867,99,99,25.117199,23.548298
0.337,25.027866,24.388832,23.501057,23.72036
1.137,23.129591,23.17462,22.89743,22.766315
0.927,24.986534,23.754517,22.128792,21.176098
1.237,22.53755,22.525942,22.59892,22.493362
0.157,21.307116,20.561985,20.181139,20.04432
1.047,24.097525,23.693296,23.061607,22.302187
0.817,23.686779,24.119043,23.898888,23.298439
0.647,99,24.210253,24.033588,23.113907
0.827,23.3802,23.283186,23.067825,22.502909
1.297,23.55034,23.533852,23.462873,23.282234
0.987,24.691864,24.60443,24.220354,23.926281
0.927,23.527887,23.416584,23.210539,22.602951
0.927,23.516138,23.561867,23.41405,22.851149
0.527,99,24.30231,23.276999,22.777016
1.067,23.901615,23.718548,23.155817,22.384623
0.897,23.18174,23.018972,23.118341,22.31347
0.697,23.82694,23.930689,22.911493,22.278723
0.987,23.832024,24.13099,24.015099,23.189722
1.277,24.158205,24.099543,23.800962,23.986917
1.037,99,99,24.01452,23.72636
0.617,24.889456,24.888006,24.225466,24.30743
1.087,23.597002,23.431522,23.00696,23.287704
0.537,22.142786,22.123837,21.44051,21.32394
0.777,24.399818,24.38701,24.114,23.482105
0.777,23.926249,23.755316,23.207241,22.488773
1.297,24.208477,24.60397,24.362185,24.70548
0.487,25.24226,25.582088,23.72256,23.30406
0.867,23.897017,22.985285,22.42297,21.257187
0.777,24.25983,23.792587,22.671745,21.7352
0.987,23.681087,25.035553,24.470121,24.606031
0.677,24.422867,23.052242,21.983421,21.062263
0.667,23.901373,23.90879,23.222336,22.823498
1.387,24.663671,24.075663,24.372837,24.730835
0.187,24.703209,23.57884,23.219862,23.32349
0.767,24.664705,26.033361,24.687967,23.462389
0.837,23.113548,22.5847,21.739536,20.796648
0.927,24.50171,24.165998,24.05051,23.444788
0.777,24.109652,23.57328,22.868664,22.064968
0.497,24.378935,23.650093,22.95098,22.207779
0.907,23.509514,23.569817,23.399427,22.779694
0.567,21.887497,21.452639,20.635128,20.24361
0.827,24.185894,23.46054,22.367296,21.282352
0.417,99,23.341715,21.862389,21.288872
0.527,22.398628,22.347486,21.655067,21.521774
0.917,23.133688,23.127733,23.008987,22.57292
1.017,99,25.116522,23.399582,21.910948
1.277,23.632483,23.493486,23.3877,23.459955
0.477,99,25.052992,23.904785,23.4634
0.987,23.367962,23.888636,24.25261,23.600023
0.687,24.388779,24.179697,23.857033,23.489576
1.117,23.429314,23.845724,23.822847,23.496809
0.627,23.96292,24.273289,23.935705,23.350266
0.837,22.684095,22.854282,22.571102,21.916386
1.177,22.629822,22.713814,22.617891,22.4038
1.097,24.031666,23.854378,24.172201,23.386229
1.087,22.17911,22.066349,22.053408,21.54718
1.137,23.135462,23.232033,23.050049,22.860453
0.507,99,24.32555,24.057821,23.66594
1.287,23.872688,24.30945,23.80675,23.394388
0.957,24.338373,24.254337,23.98642,23.573927
0.797,25.180666,24.05107,23.31035,22.748434
0.237,21.559921,20.763777,19.985796,19.699263
0.237,21.109444,20.351734,19.662392,19.435202
0.437,24.505735,23.843779,22.90746,22.673702
0.667,25.529396,24.707182,24.44962,24.321592
0.417,23.874214,23.005972,21.955086,21.640224
1.087,24.396946,24.901264,23.987656,23.683237
0.857,24.03911,23.696354,22.752125,21.41607
0.297,23.401346,22.978235,22.40744,22.30788
1.207,23.279236,23.407915,22.94605,22.787868
0.997,23.778097,24.14029,24.240355,23.459314
0.737,23.58148,23.401192,23.036442,22.754557
0.857,23.328245,23.302088,23.100023,22.266003
0.927,99,23.846354,22.2996,21.411528
1.037,23.904158,24.481802,23.88772,23.991787
0.827,24.695793,24.59365,24.202835,23.655855
1.367,23.890474,24.077396,24.33619,24.478996
0.657,24.462767,24.209478,24.025114,23.675014
0.937,24.143627,24.311602,24.129143,23.679976
0.627,24.942793,24.393957,23.348236,22.961416
0.597,23.892523,23.642555,23.085955,22.916786
1.147,23.552176,23.840225,23.620968,23.324629
0.537,23.640205,24.045277,22.873053,22.577038
1.307,23.653751,23.667646,23.588089,23.365019
0.727,24.214882,24.25395,23.783054,22.788097
0.547,22.11325,21.65341,20.77546,20.355215
0.577,24.695774,24.607151,23.23658,22.715939
1.107,24.69385,24.295595,23.944838,24.181192
1.387,23.728466,23.484434,23.52436,23.559319
0.737,24.199863,23.92456,24.059038,23.06983
0.877,23.85068,23.715109,23.269917,22.337358
0.747,99,24.180426,22.908066,21.63825
0.897,23.976889,23.331892,22.705029,21.898275
0.527,99,24.958544,24.015179,23.906612
1.107,24.278719,24.083727,24.11774,23.37683
0.497,24.766556,24.14005,23.348852,23.631956
1.347,24.9424,24.543446,24.474007,24.085506
0.127,20.331009,19.785254,19.43986,19.3398
1.077,23.361006,23.563683,23.286901,22.857689
0.997,24.582428,24.093222,23.71608,23.336424
0.637,24.051067,23.370632,22.309359,21.557568
0.577,23.637327,23.044981,22.443707,22.085085
1.207,23.16721,22.945873,22.573608,22.264874
0.757,24.47355,23.18586,21.969185,20.90308
0.517,25.619408,25.036617,24.02484,23.706705
0.627,24.296928,24.04788,23.468544,23.33636
0.557,23.921911,23.357656,22.53546,22.233835
0.267,23.023827,22.887062,22.64735,22.43237
0.567,24.416147,24.08237,23.201874,22.769472
0.647,23.217192,23.162418,22.736681,22.280203
0.137,23.637005,23.059715,22.673128,23.025394
0.997,24.803295,25.005356,24.069532,24.192
0.527,23.720222,23.85355,22.610617,22.168655
0.627,24.687008,23.928192,22.868202,22.165602
0.627,23.976124,24.592577,23.280817,23.138174
0.277,23.314827,22.782423,22.64217,22.745472
1.037,24.235785,23.713839,23.655882,22.903093
0.477,24.115438,25.854612,23.873283,23.976643
