z_spec,MAG_u,MAG_g,MAG_r,MAG_i
0.80974,23.25427,23.336763,23.146782,22.524418
0.81472,25.1641,24.338856,23.933372,22.401302
1.25716,23.547298,23.72143,23.801868,23.6979
1.20569,24.49278,24.202106,24.032194,23.857822
0.86706,22.03749,22.042913,22.03931,21.58528
0.71386,23.97939,24.327753,24.009668,23.639076
0.73152,23.743553,23.763288,23.38372,22.631104
0.84756,23.396387,23.222807,22.983904,22.283998
0.21444,23.515724,23.501364,23.678648,23.03406
0.72161,24.034416,24.050512,23.771088,23.483093
0.62205,23.372952,23.05911,22.915783,22.552105
0.78314,23.205288,23.136517,22.772215,21.746141
0.85612,23.01021,23.064644,22.95431,22.437237
0.7968,23.792364,23.69441,23.84696,22.975637
0.75599,23.321394,23.008362,22.646229,21.711702
0.85037,23.166166,23.246122,23.045591,22.350086
1.03861,24.00008,23.968533,24.057451,23.90879
0.90224,24.29564,24.314878,23.894054,23.570068
0.99963,21.71785,21.628597,21.687395,21.288235
1.05623,23.926744,23.90469,23.984203,23.776781
0.84141,23.76643,23.306377,23.185102,22.282488
1.14508,23.489464,23.588545,23.587473,23.109241
0.90313,23.643778,23.133417,22.727526,22.301394
0.89731,24.300356,23.915764,24.045795,22.868326
0.84061,24.342413,24.27768,23.930618,23.496464
0.73617,21.770594,21.67344,21.275015,20.49379
1.04506,22.311186,22.566496,22.463963,22.164478
0.72289,23.063559,22.523909,22.134384,21.342356
0.83566,23.532213,23.308212,23.228289,23.051119
1.1873,99,24.275862,24.02404,23.39165
1.07635,23.838099,23.677534,23.938591,23.224962
1.09646,23.695898,23.712755,23.874548,23.574823
1.37755,23.105732,23.430876,23.240818,22.894619
0.8487,23.16082,23.319801,23.26573,22.533031
1.05207,24.059484,23.498093,23.856508,23.25313
0.91138,24.000862,23.847805,23.880116,23.684523
0.82322,23.914803,23.600277,23.408463,22.933962
0.80143,23.944849,23.79269,23.79413,23.298182
1.01874,24.152517,23.905806,23.644892,23.454912
0.99678,24.525137,23.781603,23.72656,23.23879
0.91105,23.738499,23.604788,23.512562,23.05114
1.05619,23.630566,23.67632,23.559467,22.910194
0.95271,23.834879,23.15297,23.601646,22.979303
0.88475,23.543121,23.72253,23.625277,23.010656
1.06614,24.018217,24.043932,24.001802,23.510628
1.18867,23.48672,23.33144,23.606865,22.751322
0.73988,25.376873,24.336836,24.08087,23.108953
0.82333,24.471392,23.936058,23.60193,22.635397
0.94979,23.557087,23.79814,23.68821,23.353659
1.16441,23.73015,23.67896,23.642445,23.326584
0.76503,23.868256,23.542974,23.318201,22.528646
1.11136,23.516306,23.079823,23.329372,22.621798
0.68321,24.361773,23.458183,23.09598,22.56537
0.74807,23.065765,23.054125,22.613642,22.036581
0.98462,24.02798,23.673395,23.794292,23.128271
0.85155,23.387976,23.200315,23.551256,23.051805
0.91119,23.712545,23.730476,23.506504,22.938267
1.09768,23.664852,23.400057,23.406414,23.114885
1.00852,22.968536,22.819445,22.494316,22.010506
1.12304,23.428455,23.29929,22.980837,22.636162
1.03437,21.856276,21.902422,21.810787,21.593643
1.03661,22.69001,22.93795,22.997536,22.751942
0.18853,99,24.242945,23.952192,23.705975
1.11136,24.407415,24.35749,24.089176,23.805618
0.7985,22.535316,22.684328,22.820276,22.259705
0.74841,23.523075,23.045708,22.782356,22.010826
0.82198,25.253395,24.043934,23.771898,22.52473
0.88301,23.83662,23.692781,23.757816,23.322971
1.20013,23.738535,23.773039,23.69609,23.283136
0.76559,23.140762,23.39201,24.00493,22.899736
0.68648,22.819923,22.518438,22.147533,21.597387
1.41674,24.178957,24.023361,23.74191,23.35398
0.83924,24.005953,23.889805,24.04067,23.35738
1.3958,23.73839,23.697035,23.733416,23.093151
0.8345,24.33408,23.96636,23.897644,23.3721
0.80278,22.510351,22.419392,22.387688,21.730532
0.80786,23.003286,23.373112,23.150955,22.458529
0.80414,23.313293,23.148045,23.30337,22.84135
0.89346,23.21931,23.189405,23.58151,22.75231
1.24976,23.559322,23.897362,24.08144,23.708145
0.8407,22.160336,22.000612,21.77333,21.073538
0.73144,21.367237,21.379194,21.09529,20.470186
0.68493,23.825964,23.519144,23.315804,23.114218
0.44925,25.094673,24.293333,24.005587,23.813133
0.976,21.430431,21.31985,21.2787,20.946024
0.59606,24.077911,23.262495,22.81868,22.529938
1.4041,24.394182,23.66291,24.062956,23.497799
1.04453,23.466297,23.295977,23.328304,22.70899
0.81535,23.892605,23.673538,23.267916,22.602842
1.16287,22.760395,22.657717,22.397442,22.250368
0.96887,23.222841,23.06116,23.093378,22.770887
0.8313,24.551577,23.919027,23.610167,22.370668
1.116,24.384766,24.078825,23.834028,23.58407
0.79974,23.846018,23.474695,23.262232,22.229542
1.25194,23.562323,23.546549,23.583084,23.373394
0.79534,22.358053,22.27099,22.32751,21.989624
0.80815,23.012295,22.58262,22.289978,21.560486
1.40844,23.982094,23.6168,23.736187,23.342308
0.874,23.519073,23.587917,23.44983,22.943659
0.99002,24.394686,24.018799,23.896713,23.439796
1.17026,23.754707,23.852007,23.445292,22.830153
1.09061,22.907131,22.91458,22.838768,22.345922
0.68437,24.76425,24.273098,24.050543,23.52061
1.11497,23.894442,23.594337,23.33454,22.988708
0.79934,22.468195,22.55192,22.386621,21.719751
0.87275,22.91017,22.635567,22.509537,22.011536
0.872,22.858538,22.643507,22.401217,21.595493
1.18824,23.501362,23.70587,23.505459,23.388315
0.76319,22.916565,22.708298,22.675426,22.06807
0.81672,22.799568,22.819708,22.386387,21.573418
1.0962,24.251118,24.319153,23.976814,23.72966
1.25869,22.86337,22.729916,22.873829,22.704807
0.73106,22.747705,22.97406,23.154694,22.40006
0.87276,23.908348,23.818615,23.603119,22.964136
0.91735,99,24.08896,23.708736,22.861502
1.25448,23.565332,23.103607,22.898552,22.684168
0.95012,23.987783,24.02779,23.818691,23.42906
1.00055,23.502792,23.572317,23.749,23.044584
0.76588,23.112684,23.339224,23.175837,22.149435
0.85213,24.101793,24.02051,23.906815,23.566164
0.95944,23.29529,23.718475,23.459291,22.76005
1.30618,23.767715,23.63535,23.688328,23.210901
0.80257,22.288504,22.271988,22.074612,21.505503
0.81607,23.6569,23.91938,23.708658,23.267776
0.91368,22.213158,22.358162,22.43225,21.982729
0.73047,23.086819,22.481873,22.269907,21.764803
1.19161,24.141071,24.312624,24.055073,23.494495
0.87056,21.477896,21.29097,20.956375,20.314959
1.40396,23.87206,23.698841,23.400745,23.227322
0.97809,22.559608,22.389357,22.32336,21.851278
0.85613,23.74874,23.43741,23.729189,23.085209
0.97787,22.961782,23.153517,23.17263,22.769138
0.76584,23.166866,22.807905,22.426521,21.695389
1.15886,22.882923,22.673786,22.40894,22.288973
0.72442,24.521753,24.423897,24.040642,22.603779
0.79148,23.930958,23.737862,23.6926,22.808908
1.16335,23.729504,23.964659,23.965702,23.378712
0.67544,24.568958,24.088095,23.70354,22.96925
1.20659,23.58668,23.820234,23.949951,23.392036
0.8542,23.682299,23.28944,23.123844,22.063538
0.80565,23.69402,23.759752,23.657589,23.173166
0.84579,24.128431,23.727274,23.560682,22.932987
1.0107,23.371847,23.339617,23.198587,22.946459
1.11117,24.020494,23.846321,23.85944,22.924337
0.73323,23.775396,23.96696,24.012812,23.14518
0.79386,25.137135,23.9763,23.624752,22.548168
1.2296,24.943697,24.229616,24.06188,23.82112
0.73966,23.68357,23.899244,23.690948,22.42889
0.81292,22.54842,22.351643,22.00704,21.297876
0.80833,23.618402,23.785265,23.745977,23.372078
0.85326,24.201578,23.782063,23.387856,22.678438
0.72381,23.350985,23.239557,22.908606,22.659393
0.83205,23.849316,23.673656,23.549831,22.673586
1.01842,23.430761,23.400925,23.15557,22.698927
0.9752,23.607475,23.753592,23.384167,22.962214
0.88508,24.444498,24.048635,23.879467,23.23903
1.1309,23.627245,23.603123,23.230932,22.846928
0.86194,22.188046,22.286886,22.178843,21.555443
0.96945,23.941963,24.010403,23.995188,23.069683
1.40364,23.355589,23.09195,23.550724,22.959913
0.77941,22.523228,22.697298,22.857195,22.613024
0.69829,23.887611,23.506672,23.13525,22.756372
0.96579,23.328106,23.516193,23.636204,23.403334
0.746,23.94847,23.261509,22.953478,22.414658
0.74031,23.144361,23.149658,22.979027,21.7938
0.809,23.91319,23.888586,23.804586,23.569311
1.06665,24.106844,24.095795,23.971703,23.70225
0.96898,24.090223,24.143055,23.744614,23.020176
0.78386,23.820679,23.909739,23.680185,22.919212
0.61665,23.93553,23.711447,23.294146,22.984705
0.75263,23.446959,23.586174,23.6318,23.049616
1.08275,24.156786,23.824757,23.530159,23.215336
0.86603,23.479427,23.30164,23.09844,22.137552
0.79738,22.990671,22.798363,23.165783,22.138493
0.36804,24.5584,23.94795,23.530333,23.291424
0.87059,23.67929,23.671795,23.326355,22.48243
0.98347,23.762587,23.80279,23.907276,23.5857
1.08274,24.181507,24.09615,23.772781,23.430187
1.02278,23.768911,23.874945,23.506313,23.016745
0.84278,23.423067,23.616629,23.653015,23.045107
0.90262,23.529356,23.603973,23.901949,23.43082
1.0582,24.535933,24.382421,23.985964,23.363136
0.87193,24.87482,24.15469,23.706562,22.977453
0.72647,21.275604,21.109728,20.85122,20.331099
0.81253,22.650713,22.572498,22.56919,22.15527
1.05455,23.861975,23.621504,23.545933,23.018759
1.14458,24.292126,23.808964,23.829569,23.643517
1.26893,23.782045,23.4727,23.56099,23.19896
0.82277,24.180061,23.703943,23.805872,22.92488
0.68561,22.790966,22.90435,22.492842,21.605488
0.8543,23.680555,23.125948,22.90077,22.157516
0.97988,24.247711,24.233915,24.097824,22.840416
0.733,24.085022,24.001472,23.577747,22.678896
1.19773,22.64454,22.663782,22.344269,22.08562
1.37288,24.160143,24.035442,23.865984,23.517313
0.94485,23.736113,23.64788,23.417704,22.763027
0.84579,24.012638,24.046633,23.848831,23.2521
1.28443,23.605879,23.960112,23.814249,23.628546
1.09366,23.547539,23.496672,23.729052,23.593702
1.02443,24.254242,23.8401,23.896965,23.733747
0.89358,23.805622,23.625175,23.280834,22.68948
0.85503,23.836897,23.980785,24.077263,23.864248
0.97254,23.71569,23.679087,23.511219,23.379082
1.03553,23.239788,23.271343,23.686428,23.49405
0.92767,24.218493,23.850723,23.785168,23.132784
0.73703,23.712168,23.637247,23.404772,22.534529
1.19615,23.726295,23.496305,23.390568,22.686062
0.75059,24.168137,24.031216,23.802301,22.415886
1.05724,24.57894,24.140774,23.745426,23.015247
1.12829,24.376272,24.257366,23.841146,22.998413
0.80605,22.58975,22.431599,22.16378,21.285334
0.83828,24.268541,23.963911,24.068214,23.552128
0.94578,23.794706,23.97621,23.608637,22.776764
0.64671,23.671833,23.67308,23.309153,22.735313
0.80223,25.031708,24.002924,24.029093,23.5215
0.69692,24.566599,23.96048,23.62687,23.225258
0.87274,23.551819,23.801321,23.751417,23.606709
0.79632,21.781265,21.656954,21.438002,20.905909
1.19063,24.205162,24.226145,23.972311,23.24998
1.30629,23.732758,23.562431,23.688332,23.506428
0.91651,23.247173,23.458794,23.58256,22.944313
1.02867,23.132853,23.443735,23.4557,23.008379
0.80838,24.167017,24.08112,23.916742,23.588299
0.88544,23.973295,23.502897,23.339354,23.007702
1.27657,23.671535,23.587189,23.401035,23.164047
0.72655,23.41607,23.71155,23.389668,22.703012
0.73549,23.765736,23.744825,23.517738,22.424181
0.74388,24.382038,23.886806,23.723236,22.90223
0.77427,24.10921,23.314695,23.538078,22.799173
1.09929,23.731852,23.921638,23.815567,23.651323
0.79949,23.547571,23.692852,23.453707,22.744682
1.05568,23.55919,23.193102,22.772038,22.502932
0.86554,22.871302,22.825266,22.813887,22.104918
0.7328,22.040949,21.864565,21.460993,20.776728
0.80037,22.508978,22.419302,22.180918,21.464005
0.75495,21.891785,21.899744,21.712341,21.065306
0.86766,23.984348,23.431149,23.616648,22.501335
0.81866,23.661503,23.79379,23.506752,22.743998
0.92965,24.356838,24.262005,24.006214,23.869783
0.85394,24.306316,24.081083,24.063572,23.21903
1.09497,23.54206,23.646748,23.554,23.034143
0.99325,22.977732,23.050539,22.980751,22.36069
0.78943,24.478916,23.763649,23.939789,23.469166
0.16773,23.544834,22.812675,22.493395,22.362564
0.93779,21.80816,21.824842,21.731775,21.410025
0.7466,23.42533,23.302223,23.565119,23.159792
1.34202,23.462877,23.565464,23.78613,23.58331
1.2592,23.293983,23.32837,23.28279,23.13122
